node_id,cluster,cluster_probability,outlier_score,is_noise,centroid_distance,baseline_iforest_score,is_anomaly,anomaly_rank
4:7881d57d-4dc3-40da-9c97-756961f2beba:6488,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6489,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6490,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6491,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6492,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6493,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6494,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6495,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6496,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6497,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6498,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:6499,-1,0.0,0.9837447804433123,True,0.9999831278061172,0.3884258731017404,True,1
4:7881d57d-4dc3-40da-9c97-756961f2beba:39664,-1,0.0,0.9741699616969073,True,0.6293143360426463,0.45696899757538195,True,2
4:7881d57d-4dc3-40da-9c97-756961f2beba:39706,-1,0.0,0.973904620533521,True,0.6536137571622255,0.46625467628071965,True,3
4:7881d57d-4dc3-40da-9c97-756961f2beba:39822,-1,0.0,0.9590899603132015,True,0.9917520270588395,0.42556835256744396,True,4
4:7881d57d-4dc3-40da-9c97-756961f2beba:39842,-1,0.0,0.9525208871591367,True,0.8545360761568591,0.4268737111564392,True,5
4:7881d57d-4dc3-40da-9c97-756961f2beba:6292,-1,0.0,0.9462847437722453,True,1.0000000736617083,0.3899576844306422,True,6
4:7881d57d-4dc3-40da-9c97-756961f2beba:39802,-1,0.0,0.9380103985916834,True,0.9443734899927565,0.4380650384663427,True,7
4:7881d57d-4dc3-40da-9c97-756961f2beba:39855,-1,0.0,0.924342567422327,True,0.864400901883802,0.43012709845672725,True,8
4:7881d57d-4dc3-40da-9c97-756961f2beba:39830,-1,0.0,0.921946680938496,True,0.8378676748239402,0.43681857630791343,True,9
4:7881d57d-4dc3-40da-9c97-756961f2beba:39652,-1,0.0,0.9059818044674555,True,0.5713283224507688,0.4560288194285159,True,10
4:7881d57d-4dc3-40da-9c97-756961f2beba:39632,-1,0.0,0.9039153709532393,True,0.6092684834818041,0.4561382764038048,True,11
4:7881d57d-4dc3-40da-9c97-756961f2beba:39670,-1,0.0,0.9039153709532393,True,0.6092684834818041,0.4561382764038048,True,11
4:7881d57d-4dc3-40da-9c97-756961f2beba:39739,-1,0.0,0.9039153709532393,True,0.6092684834818041,0.4561382764038048,True,11
4:7881d57d-4dc3-40da-9c97-756961f2beba:5987,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5988,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5989,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
4:7881d57d-4dc3-40da-9c97-756961f2beba:5990,-1,0.0,0.8948393026313228,True,0.9999996469111263,0.37829871922964114,True,12
